原始链接,新链接,源内容ID,目标内容ID
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201388112926826.jpg,/static/upfiles/old/201388112926826.jpg,653,335
/upfiles/image/20190130075859.jpg,/static/upfiles/old/20190130075859.jpg,821,415
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2012710151538261.jpg,/static/upfiles/old/2012710151538261.jpg,628,316
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150109130738.jpg,/static/upfiles/old/20150109130738.jpg,673,350
http://player.56.com/v_58486011.swf,/static/upfiles/old/v_58486011.swf,552,291
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013101283123401.jpg,/static/upfiles/old/2013101283123401.jpg,654,336
/upfiles/image/20180704133911.png,/static/upfiles/old/20180704133911.png,815,410
http://player.youku.com/player.php/sid/XMjc3OTAxNDE2OA==/v.swf,/static/upfiles/old/v.swf,790,391
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091433.jpg,/static/upfiles/old/20140714091433.jpg,664,342
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140721085709.jpg,/static/upfiles/old/20140721085709.jpg,665,343
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091412.jpg,/static/upfiles/old/20140714091412.jpg,664,342
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/201232016214844.jpg,/static/upfiles/old/201232016214844.jpg,624,312
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/1006251799B.jpg,/static/upfiles/old/1006251799B.jpg,460,289
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20118814153647.jpg,/static/upfiles/old/20118814153647.jpg,583,295
/upfiles/image/20180717212153.jpg,/static/upfiles/old/20180717212153.jpg,816,411
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20140714091555.jpg,/static/upfiles/old/20140714091555.jpg,664,342
/upfiles/image/20180504152346.jpg,/static/upfiles/old/20180504152346.jpg,812,407
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150310084214.jpg,/static/upfiles/old/20150310084214.jpg,677,353
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150423104618.jpg,/static/upfiles/old/20150423104618.jpg,691,356
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/2013220102538889.jpg,/static/upfiles/old/2013220102538889.jpg,646,330
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20135991912145.jpg,/static/upfiles/old/20135991912145.jpg,647,331
http://www.tttou.com.cn/sanyuan-img/upfiles/image/20150109130806.jpg,/static/upfiles/old/20150109130806.jpg,673,350
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile2/20135139305448.jpg,/static/upfiles/old/20135139305448.jpg,650,332
http://www.tttou.com.cn/sanyuan-img/upfiles/UploadFile/10041211A6A.jpg,/static/upfiles/old/10041211A6A.jpg,456,285
